"fullnames","shortnames"
"10th & Monroe St NE (31504)","X1"
"10th & U St NW (31111)","X2"
"10th St & Constitution Ave NW (31219)","X3"
"11th & H St NE (31614)","X4"
"11th & Kenyon St NW (31102)","X5"
"12th & Army Navy Dr (31008)","X6"
"12th & Hayes St (31001)","X7"
"12th & Newton St NE (31501)","X8"
"13th & D St NE (31622)","X9"
"13th & H St NE (31611)","X10"
"13th St & New York Ave NW (31227)","X11"
"14th & D St NW / Ronald Reagan Building (31231)","X12"
"14th & D St SE (31607)","X13"
"14th & G St NW (31238)","X14"
"14th & Harvard St NW (31105)","X15"
"14th & R St NW (31202)","X16"
"14th & Rhode Island Ave NW (31203)","X17"
"14th & V St NW (31101)","X18"
"14th St & Spring Rd NW (31401)","X19"
"14th St Heights / 14th & Crittenden St NW (31402)","X20"
"15th & Crystal Dr (31003)","X21"
"15th & Hayes St (31005)","X22"
"15th & P St NW (31201)","X23"
"15th St & Massachusetts Ave SE (31626)","X24"
"16th & Harvard St NW (31103)","X25"
"16th & U St NW (31229)","X26"
"17th & Corcoran St NW (31214)","X27"
"17th & K St NW / Farragut Square (31233)","X28"
"17th & K St NW [formerly 17th & L St NW] (31213)","X29"
"17th & Rhode Island Ave NW (31239)","X30"
"18th & Bell St (31007)","X31"
"18th & Hayes St (31004)","X32"
"18th & M St NW (31221)","X33"
"18th St & Pennsylvania Ave NW (31242)","X34"
"19th & E Street NW (31206)","X35"
"19th & East Capitol St SE (31601)","X36"
"19th & L St NW (31224)","X37"
"19th St & Constitution Ave NW (31235)","X38"
"19th St & Pennsylvania Ave NW (31100)","X39"
"1st & M St NE (31603)","X40"
"1st & N ST SE (31209)","X41"
"1st & Rhode Island Ave NW (31506)","X42"
"20th & Bell St (31000)","X43"
"20th & Crystal Dr (31002)","X44"
"20th & E St NW (31204)","X45"
"20th St & Florida Ave NW (31110)","X46"
"21st & I St NW (31205)","X47"
"21st & M St NW (31212)","X48"
"23rd & Crystal Dr (31011)","X49"
"23rd & Eads (31013)","X50"
"25th St & Pennsylvania Ave NW (31237)","X51"
"26th & Crystal Dr (31012)","X52"
"27th & Crystal Dr (31009)","X53"
"3000 Connecticut Ave NW / National Zoo (31307)","X54"
"34th St & Wisconsin Ave NW (31226)","X55"
"36th & Calvert St NW / Glover Park (31304)","X56"
"37th & O St NW / Georgetown University (31236)","X57"
"3rd & D St SE (31605)","X58"
"3rd & G St SE (31625)","X59"
"3rd & H St NE (31616)","X60"
"4th & Adams St NE (31500)","X61"
"4th & D St NW / Judiciary Square (31621)","X62"
"4th & E St SW (31244)","X63"
"4th & East Capitol St NE (31618)","X64"
"4th & M St SW (31108)","X65"
"4th St & Massachusetts Ave NW (31604)","X66"
"5th & F St NW (31620)","X67"
"5th St & K St NW (31600)","X68"
"6th & H St NE (31615)","X69"
"7th & F St NW / National Portrait Gallery (31232)","X70"
"7th & R St NW / Shaw Library (31245)","X71"
"7th & T St NW (31109)","X72"
"7th & Water St SW / SW Waterfront (31609)","X73"
"8th & Eye St SE / Barracks Row (31608)","X74"
"8th & H St NW (31228)","X75"
"9th & Upshur St NW (31404)","X76"
"Adams Mill & Columbia Rd NW (31104)","X77"
"Alta Bicycle Share Demonstration Station (31999)","X78"
"Alta Bicycle Share Warehouse (31902)","X79"
"Alta Warehouse Station (31888)","X80"
"Anacostia Ave & Benning Rd NE / River Terrace  (31708)","X81"
"Anacostia Library (31804)","X82"
"Anacostia Metro (31801)","X83"
"Benning Branch Library (31705)","X84"
"Benning Rd & East Capitol St NE / Benning Rd Metro (31707)","X85"
"Birthday Station (31900)","X86"
"Bladensburg Rd & Benning Rd NE (31617)","X87"
"Branch & Pennsylvania Ave SE (31701)","X88"
"C & O Canal & Wisconsin Ave NW (31225)","X89"
"California St & Florida Ave NW (31116)","X90"
"Calvert St & Woodley Pl NW (31106)","X91"
"Clarendon Blvd & Pierce St (31016)","X92"
"Columbia Rd & Belmont St NW (31113)","X93"
"Columbia Rd & Georgia Ave NW (31115)","X94"
"Columbus Circle / Union Station (31623)","X95"
"Congress Heights Metro (31806)","X96"
"Connecticut Ave & Newark St NW / Cleveland Park (31305)","X97"
"Convention Center / 7th & M St NW (31223)","X98"
"Court House Metro / Wilson Blvd & N Uhle St (31017)","X99"
"Eastern Market / 7th & North Carolina Ave SE (31610)","X100"
"Eastern Market Metro / Pennsylvania Ave & 7th St SE (31613)","X101"
"Eckington Pl & Q St NE (31505)","X102"
"Fairfax Village (31706)","X103"
"Florida Ave & R St NW (31503)","X104"
"Georgetown Harbor / 30th St NW (31215)","X105"
"Georgia & New Hampshire Ave NW (31400)","X106"
